H,Mz
0.0,-0.0000e+00
0.01,1.3711e-02
0.02,2.7422e-02
0.03,4.1128e-02
0.04,5.4835e-02
0.05,6.8533e-02
0.06,8.2232e-02
0.07,9.5924e-02
0.08,1.0962e-01
0.09,1.2330e-01
0.1,1.3702e-01
0.11,1.5080e-01
0.12,1.6431e-01
0.13,1.7793e-01
0.14,1.9157e-01
0.15,2.0519e-01
0.16,2.1880e-01
0.17,2.3240e-01
0.18,2.4598e-01
0.19,2.5956e-01
0.2,2.7314e-01
0.21,2.8555e-01
0.22,3.0015e-01
0.23,3.1365e-01
0.24,3.2712e-01
0.25,3.4060e-01
0.26,3.5401e-01
0.27,3.6743e-01
0.28,3.8076e-01
0.29,3.9421e-01
0.3,4.0753e-01
0.31,4.2391e-01
0.32,4.3647e-01
0.33,4.4743e-01
0.34,4.6066e-01
0.35,4.7386e-01
0.36,4.8703e-01
0.37,5.0020e-01
0.38,5.1331e-01
0.39,5.2637e-01
0.4,5.3945e-01
0.41,5.5248e-01
0.42,5.6545e-01
0.43,5.7840e-01
0.44,5.9137e-01
0.45,6.0342e-01
0.46,6.1701e-01
0.47,6.2985e-01
0.48,6.4261e-01
0.49,6.5535e-01
0.5,6.6805e-01
0.51,6.8067e-01
0.52,6.9329e-01
0.53,7.0582e-01
0.54,7.1846e-01
0.55,7.3074e-01
0.56,7.4316e-01
0.57,7.5555e-01
0.58,7.6790e-01
